source,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,status,run,overall_bias
jacobin,llama3.2:latest,jacobin_448736831376,-1.0,-1.0,0.0,0.0,0.9,"The article presents a strongly left-leaning perspective on the Cuba blockade, with quotes from Democratic representatives and an expert in sanctions law. The framing is critical of the US policy, portraying it as cruel and illegal under international law.",ok,1,-0.5
jacobin,llama3.2:latest,jacobin_538690573725,-1.0,-1.0,-1.0,0.0,1.0,"The article portrays the Trump administration's actions as heavy-handed, cruel, and motivated by a desire to intimidate and silence critics. The framing is overwhelmingly negative towards the administration and its policies, with no credible counterarguments presented.",ok,1,-0.75
jacobin,llama3.2:latest,jacobin_005466088031,-0.4,0.8,0.2,0.3,0.9,"The article presents a balanced view of the UAW's organizing strategy, highlighting both its successes and limitations. The author acknowledges the challenges of organizing at scale and emphasizes the need for strategic fluency in choosing the right mix of organizing models and tactics to win.",ok,1,0.22500000000000003
jacobin,llama3.2:latest,jacobin_874381297379,-0.5,0.8,0.3,0.0,0.9,"The article presents a nuanced view of the impact of AI on white-collar workers, arguing that it is not a coordinated attack by tech billionaires but rather a natural consequence of technological advancements. The author critiques Chris Hayes's narrative, suggesting that it oversimplifies the issue and fails to acknowledge the long history of precarity in working-class life.",ok,1,0.15000000000000002
jacobin,llama3.2:latest,jacobin_507318743733,-0.5,1.0,0.0,0.0,0.8,"The article presents a neutral and factual account of the film's subject, Hind Rajab, without expressing a clear opinion or bias towards her or her family. The framing is predominantly serious and somber, with a focus on conveying the gravity of the situation. The treatment of both sides is balanced, and there are no quoted guests who express a strong political stance. Overall, the article maintains a neutral tone throughout.",ok,1,0.125
jacobin,llama3.2:latest,jacobin_846483038027,-1.0,0.0,-0.5,0.0,0.9,"While the article does not take a clear stance on the issue, it leans towards presenting a sympathetic view of the workers and their union, which may be perceived as left-leaning.",ok,1,-0.375
jacobin,llama3.2:latest,jacobin_683906457517,-1.0,-1.0,-1.0,-1.0,1.0,"The article portrays the Trump administration's actions as targeting and terrorizing children and their caregivers, highlighting the administration's willingness to prioritize deportation over the well-being of minors. The use of strong language, such as 'kidnapping tactics' and 'defiling sacred spaces,' emphasizes the author's critical perspective on the administration's policies.",ok,1,-1.0
jacobin,llama3.2:latest,jacobin_818510627337,-0.1,0.8,0.4,0.9,0.7,"The language used is often nostalgic and admiring, with phrases such as ""left-wing challenges"" and ""social democratic bloc,"" which suggests a strong left-leaning bias. However, the article also mentions criticisms of Jackson's strategy, indicating a nuanced approach that avoids overt partisanship.",ok,1,0.5
jacobin,llama3.2:latest,jacobin_767642997346,-1.0,-1.0,-1.0,0.0,0.8,"The article presents a left-leaning perspective on the Justice Department's antitrust division and its handling of corporate influence. The framing is critical of the Trump administration's approach, with quotes from a former deputy attorney general criticizing the use of political connections to resolve cases.",ok,1,-0.75
jacobin,llama3.2:latest,jacobin_578530688994,-0.1,0.0,0.0,0.0,0.8,"The article presents a neutral and informative account of Dorrien's life and work, with no apparent left-leaning or right-leaning bias. The tone is scholarly and analytical, focusing on the historical context and intellectual influences that shaped Dorrien's thought.",ok,1,-0.025
jacobin,llama3.2:latest,jacobin_265555549188,-1.0,-1.0,-1.0,-1.0,1.0,"The article presents a strongly critical view of Israel's actions in Gaza, portraying them as genocidal and colonial. The language used is emotive and accusatory, with phrases such as 'brutally and systematically dismantled' and 'age-old colonial tactic'. The article also quotes unnamed sources and makes sweeping statements about the Israeli regime, without providing a balanced or nuanced perspective.",ok,1,-1.0
jacobin,llama3.2:latest,jacobin_940133665222,-0.2,0.8,0.5,0.3,0.9,"While the article acknowledges potential challenges to implementing these reforms, it primarily focuses on the benefits of popular assemblies in building capacity and fostering unity.",ok,1,0.35000000000000003
jacobin,llama3.2:latest,jacobin_601037772224,-0.5,0.0,0.0,0.0,1.0,"The article presents a neutral and factual account of Martin Luther King Jr.'s early life, highlighting his experiences with segregation and activism. The tone is informative and objective, without any apparent bias towards the left or right.",ok,1,-0.125
jacobin,llama3.2:latest,jacobin_125010757319,-0.5,-1.0,-0.8,0.0,0.9,"The article portrays Rodrigo Chaves's administration as populist and confrontational, with a focus on dismantling the Costa Rican welfare state and promoting patriarchal policies. The tone is critical of Chaves's approach, suggesting that it has had little impact in terms of concrete policy achievements.",ok,1,-0.575
jacobin,llama3.2:latest,jacobin_236421211848,-0.5,-0.8,-0.2,0.0,0.9,"The article presents a generally negative view of Trump's actions and statements, portraying him as gushing over Sheinbaum while later promoting conspiracy theories. The tone is critical of Trump's behavior, suggesting left-leaning bias.",ok,1,-0.375
jacobin,llama3.2:latest,jacobin_020900535707,-0.1,-0.2,0.0,0.0,0.7,"The article presents a neutral and informative discussion of mother-led movements in Sweden, emphasizing the importance of public accountability and care for children's rights. The tone is objective, with no clear leaning towards left or right politics.",ok,1,-0.07500000000000001
