model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,status,run,overall_bias
llama3.2:latest,29152239,-1.0,-1.0,-1.0,0.0,0.8,Les citations d'un Palestinien qui a perdu son neveu ainsi que les réactions du Hamas pourraient être interprétées comme étant plus favorables à la cause palestinienne que celle d'Israël.,ok,1,-0.75
llama3.2:latest,29147304,-0.0,1.0,1.0,0.0,1.0,"L'article présente un ton positif et élogieux envers Franjo von Allmen, considérant ses performances comme « parfaitement secondées » et son « moisson historique ». Le langage utilisé est également très appréciatif, avec des expressions telles que « FvA » et « le premier Suisse à s'adjuger le titre olympique en super-G chez les messieurs. »",ok,1,0.5
llama3.2:latest,29147162,-0.1,-0.2,-0.3,-0.5,0.8,"L'article présente une vision globale des impacts environnementaux et sociaux du textile, soulignant les défis liés à la régulation et aux responsabilités transférées sur les organisations caritatives. La déclaration de Mathilde Pousseo, déléguée générale d'Ethique sur l'Etiquette, exprime une critique forte envers cette approche.",ok,1,-0.275
llama3.2:latest,29134931,-0.1,0.2,-0.5,-0.3,0.8,"Les citations de la riveraine et du géologue Rodolfo Carosi ajoutent une touche d'objectivité à l'article, mais les allusions à des problèmes politiques et financiers ne sont pas explicitement évoquées.",ok,1,-0.175
llama3.2:latest,29154335,-0.2,0.1,0.0,-0.05,0.9,"L'article ne présente aucune position politique ou émotionnelle significative, se concentrant principalement sur les faits et les explications techniques de l'évènement.",ok,1,-0.037500000000000006
llama3.2:latest,29153734,,,,,,,fallback,1,
llama3.2:latest,29147820,-0.1,0.0,0.0,0.0,0.8,"L'article présente une réforme de la rente d'invalidité qui vise à soutenir les jeunes adultes et à stabiliser les finances de l'assurance maladie. La tonalité est neutre, mais il y a quelques expressions positives envers les jeunes personnes.",ok,1,-0.025
llama3.2:latest,29142365,-0.2,0.1,0.0,0.0,0.7,"L'article présente une analyse objective des événements financiers, mais les extrêts sont légèrement plus à gauche en raison de la mention du terme « séisme » pour décrire l'impact du bitcoin sur le marché. Le ton reste cependant neutre et informatif.",ok,1,-0.025
llama3.2:latest,29151828,-1.0,0.5,-0.2,-0.3,0.8,"L'article présente une vision généralement favorable à la monarchie et aux mouvements anti-républicains, en particulier avec les citations de Reza Pahlavi et Setareh Ashtari. Cependant, il est important de noter que l'article ne présente pas un point de vue uniforme sur le sujet, mais plutôt une réflexion critique des différentes perspectives.",ok,1,-0.25
llama3.2:latest,29147062,,,,,,,recovered,1,
llama3.2:latest,29139994,0.0,0.0,0.0,0.0,1.0,"L'article présente un ton neutre et objectif, sans aucune mention de parti politique ou d'opinion personnelle. La description des calendriers est claire et objective.",ok,1,0.0
llama3.2:latest,29150791,-0.1,0.0,0.0,0.0,0.9,"L'article présente un ton neutre et ne semble pas avoir de préférence politique, mais certains mots comme “l’étrange voyage“ pourraient indiquer une légère tendance vers la pensée philosophique ou psychologique qui peut être considérée comme plus liée à la gauche. Le fait que le concert de sifflet soit mentionné en premier et que les autres événements soient décrits de manière plus concise pourrait également suggérer une attention particulière pour l’art et la culture, domaines souvent associés à la gauche.",ok,1,-0.025
llama3.2:latest,29152429,,,,,,,fallback,1,
llama3.2:latest,29144178,-0.2,0.0,-0.3,-0.1,0.8,,ok,1,-0.15
llama3.2:latest,29148270,-0.3,-0.1,-0.2,0.0,0.8,"L'article présente une vision relativement neutre de la situation, mais avec des allusions légères à la pression américaine sur l'Ukraine pour organiser des élections avant un cessez-le-feu. La représentation du président Zelensky comme un dirigeant capable et populaire est également notée positivement.",ok,1,-0.15000000000000002
llama3.2:latest,29148433,-1.0,0.0,0.0,0.0,1.0,"L'article présente un ton neutre et objective, en mettant l'accent sur la vie de James Van Der Beek sans prendre position politique. Le langage utilisé est formel et respectueux.",ok,1,-0.25
llama3.2:latest,29134900,,,,,,,fallback,1,
