model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,status,run,overall_bias
llama3.2:latest,29147304,-0.0,0.0,0.0,0.0,1.0,"L'article présente un ton neutre et ne contient aucune référence politique significative, indiquant une absence de biais dans le sujet traité.",ok,1,0.0
llama3.2:latest,29147162,,,,,,,recovered,1,
llama3.2:latest,29134931,-0.1,0.3,-0.05,0.0,0.6,"L'article présente une analyse neutre des événements, mais une légère tendance à la droite apparaît dans les déclarations de la Première ministre Giorgia Meloni.",ok,1,0.03749999999999999
llama3.2:latest,29147820,0.0,0.0,0.0,0.0,1.0,"L'article présente une vision neutralle sur la réforme des prestations d'invalidité, sans inclure de commentaires tendant à faire valoir les intérêts d'une ou l'autre campade politique.",ok,1,0.0
llama3.2:latest,29142365,0.0,-1.0,0.0,0.0,0.0,"L'article présente un ton critique envers les investisseurs qui ont joué avec de l’argent emprunté, mais ne mentionne pas spécifiquement la gauche ou le droit.
Le article utilise également un langage technic et économique pour décrire les événements, ce qui peut rendre difficile la compréhension du lecteur non spécialiste.",ok,1,-0.25
llama3.2:latest,29151828,-0.02,-0.03,-0.06,-0.05,0.5,"L'article présente une réunion de manifestations pacifiques en Iran, avec des appels à la transition démocratique et à l'intervention internationale pour aider les Iraniens. La framing est relativement neutre, mais légèrement tendue vers la droite en raison des mentionnées aux États-Unis et à Trump. Le traitement des partisans de la monarchie renversée est plus favorable que celui des opposants politiques.",ok,1,-0.04
llama3.2:latest,29147062,-1.0,-1.0,-0.6,0.0,0.8,"L'article présente une vision très critique de la politique douanière américaine, en soulignant les avantages que cette politique lui procure et en minimisant les conséquences négatives sur la population suisse. Cela suggère un traitement préjudiciable à la Suisse par le président Trump.",ok,1,-0.65
llama3.2:latest,29139994,0.0,0.0,0.0,0.0,1.0,"L&#39;article présente un sujet neutre, sans indication de préférence politique. La formulation du texte est objective et informative.",ok,1,0.0
llama3.2:latest,29150791,-0.1,0.3,0.2,-0.05,0.85,"L'article présente une variété de thèmes, allant de la musique classique à l'Impro comique, sans préférence clairement politiquement par rapport à la droite ou à gauche. La framing bias est légèrement à droite en raison du ton et de la narration utilisés dans certains paragraphes.",ok,1,0.08750000000000001
llama3.2:latest,29144178,-1.0,-0.25,-0.75,-1.0,0.9,"L'article présente une forte tendance à favoriser la voix des victimes et des défenseurs de l'animaux, en particulier dans le contexte du traitement du sujet par les autorités vétérinaires et le débat sur les contrôles. Les propos de l'agriculteur accusé de maltraitance animale sont présentés comme une excuse plutôt que comme une explication objective.",ok,1,-0.75
llama3.2:latest,29148270,-1.0,0.0,0.0,0.0,1.0,"L'article présente une vision critique de la situation politique ukrainienne, en soulignant les obstacles à l'organisation d'élections dans un contexte de guerre et en mettant en avant les déclarations du président Volodymyr Zelensky. La tonalité reste objective et informative.",ok,1,-0.25
llama3.2:latest,29148433,0.0,0.0,0.0,0.0,1.0,,ok,1,0.0
llama3.2:latest,29134266,-0.2,-0.4,-0.6,0.1,0.8,"L'article présente un ton critique envers les États-Unis et leur objectif de détruire l'Union européenne, ce qui suggère une orientation gauche.",ok,1,-0.275
llama3.2:latest,29150974,-0.0,-0.0,-0.0,0.0,1.0,"L'article présente une vision neutre du sujet, abordant les attaques verbales et physiques contre les avocats sans prendre parti. Le ton est formal et objective, sans indiquer de préférence politique.",ok,1,0.0
llama3.2:latest,29148256,0.0,0.0,-0.5,1.0,1.0,"L'article présente un sujet neutre, mais avec des allusions à la traite des êtres humains et l'exploitation du travail, ce qui pourrait plonger le contenu dans une dynamique favorisant les droits de l'homme et le socialisme, ce qui peut indiquer une légère orientation à gauche. Le ton est critique envers certaines pratiques de migration et la politique suisse.

La source cite un juriste au Centre social protestant qui dénonce l'insuffisance de la protection des travailleurs migrants, ce qui suggère que le contenu est plus favorable à la gauche.",ok,1,0.125
llama3.2:latest,28980688,-0.1,0.0,0.3,-0.2,0.7,"L'article présente une vision globale de l'économie irakienne et des opportunités pour les entreprises suisses, avec des quotes de personnalités du secteur qui expriment leur confiance dans la stabilité économique irakienne. Cependant, les critiques envers le contexte géopolitique et les réformes institutionnelles sont également présentées.",ok,1,-6.938893903907228e-18
llama3.2:latest,29123091,0.0,-0.05,0.0,0.0,0.8,L'article présente un ton neutre et ne contient aucune mention de parti politique. Les informations sur les gagnants et les prix sont fournies sans anymneie politiques.,ok,1,-0.0125
