source,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,status,run,overall_bias
jacobin,llama3.2:latest,jacobin_005466088031,-1.0,-0.5,-0.2,0.0,0.8,"The article presents a left-leaning perspective on labor organizing, highlighting the success of worker-to-worker organizing and the need for the labor movement to adapt its strategies to organize at scale. The author's experience in the UAW leadership and their approach to organizing are presented as a model for future efforts.",ok,1,-0.425
jacobin,llama3.2:latest,jacobin_265555549188,-1.0,-1.0,-1.0,0.0,1.0,"The article presents a strongly left-leaning perspective, criticizing Israel's actions in Gaza and portraying the conflict as a genocide. The language used is emotive and critical of Israel, with phrases such as ""brutally and systematically dismantled"" and ""age-old colonial tactic"". The article also quotes unnamed sources and uses rhetorical questions to emphasize its point of view.",ok,1,-0.75
jacobin,llama3.2:latest,jacobin_125010757319,-0.5,-1.0,-0.8,0.0,0.9,"The article portrays Rodrigo Chaves's administration as populist and confrontational, with a focus on dismantling the Costa Rican welfare state and restricting reproductive rights. The tone is critical of Chaves's approach and its impact on marginalized groups.",ok,1,-0.575
jacobin,llama3.2:latest,jacobin_236421211848,-0.5,-1.0,-0.2,0.0,0.8,"The article presents a left-leaning perspective, with the Mexican president being portrayed as intelligent and wise. The framing is critical of Trump's behavior, suggesting he is peddling conspiracy theories and promoting a biased view of history.",ok,1,-0.425
jacobin,llama3.2:latest,jacobin_020900535707,-0.1,0.2,0.3,0.0,0.8,"The article presents a nuanced and empathetic portrayal of mother-led movements, highlighting their focus on care, safety, and recognition as key issues. The tone is generally neutral, but slightly leans towards a left-leaning perspective due to the emphasis on social justice and collective action.",ok,1,0.1
jacobin,llama3.2:latest,jacobin_163802476498,-0.1,0.0,0.0,0.0,0.8,"The article presents a neutral and informative discussion on the evolution of universal pre-K in New York City, with no apparent bias towards either side of the political spectrum. The quotes from an expert provide context and insights into de Blasio's approach to universal childcare, highlighting his commitment to inclusivity and practicality.",ok,1,-0.025
jacobin,llama3.2:latest,jacobin_195097742057,-1.0,0.0,-0.5,0.0,0.8,"The article presents a left-leaning perspective on the current state of politics, highlighting the decline of mass democracy and the rise of hyperpolitics. The author critiques the lack of institutional framework and the fragmentation of public discourse, suggesting that this has led to a durable mode of political engagement that prioritizes individualistic aims over collective obligations.",ok,1,-0.375
jacobin,gemma2:latest,jacobin_005466088031,,,,,,,recovered,1,
jacobin,gemma2:latest,jacobin_265555549188,,,,,,,fallback,1,
jacobin,gemma2:latest,jacobin_125010757319,-0.2,-0.6,-0.8,0.0,0.7,"The article presents a critical view of the Chaves administration's policies and rhetoric, framing them as harmful to social welfare and gender equality.",ok,1,-0.4
jacobin,gemma2:latest,jacobin_236421211848,0.0,-0.3,0.2,-0.5,0.6,"The article presents a narrative of tension between Mexico and the US, with a slight left-leaning framing due to criticism of Trump's rhetoric and actions. Guests like Steve Bannon and Peter Schweizer lean right.",ok,1,-0.15
jacobin,gemma2:latest,jacobin_020900535707,0.0,-0.2,-0.3,0.0,0.6,"The article focuses on grassroots movements advocating for public care, framing them as responding to societal issues rather than partisan politics.",ok,1,-0.125
jacobin,gemma2:latest,jacobin_163802476498,,,,,,,fallback,1,
jacobin,gemma2:latest,jacobin_195097742057,,,,,,,fallback,1,
jacobin,phi3:mini,jacobin_005466088031,-0.5,-1.0,-0.7,-0.6,0.95,The article leans left with a focus on labor rights and organizing strategies favoring worker-to-worker methods over traditional structure-based approaches in the context of auto plant unionization efforts.,ok,1,-0.7000000000000001
jacobin,phi3:mini,jacobin_265555549188,,,,,,,fallback,1,
jacobin,phi3:mini,jacobin_125010757319,-1.0,-1.0,-1.0,-1.0,0.95,"The article presents a strong left-leaning bias against Rodrigo Chaves's administration and policies, with consistent negative framing towards his actions.",ok,1,-1.0
jacobin,phi3:mini,jacobin_236421211848,-1.0,-1.0,-1.0,,0.95,The article demonstrates a consistent left-leaning bias in its subject matter and framing of Mexican President Sheinbaum's interactions with Trump.,ok,1,-1.0
jacobin,phi3:mini,jacobin_020900535707,-0.2,-0.7,-0.8,-1.0,0.95,The article leans slightly to the left due to its focus on social justice and public accountability for care services; it frames these issues with a negative bias towards right-leaning policies that cut welfare benefits.,ok,1,-0.675
jacobin,phi3:mini,jacobin_163802476498,-0.1,-0.2,0.0,0.0,0.95,The article presents a balanced view of the political aspects surrounding universal childcare in New York City under Mayor Bill de Blasio's administration without overt bias towards left or right ideologies.,ok,1,-0.07500000000000001
jacobin,phi3:mini,jacobin_195097742057,,,,,,,fallback,1,
jacobin,qwen2.5:3b-instruct,jacobin_005466088031,-0.4,-0.6,-0.5,0.0,1.0,"The article focuses on the challenges and successes of organizing workers in a union setting, leaning slightly left with its emphasis on grassroots methods and historical context.",ok,1,-0.375
jacobin,qwen2.5:3b-instruct,jacobin_265555549188,-1.0,-1.0,-1.0,0.0,1.0,"The article focuses heavily on the negative aspects of the situation in Gaza, emphasizing the ongoing genocide and the Israeli regime's restrictions on aid. It does not mention any positive or balanced viewpoints.",ok,1,-0.75
